rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.9800798922859449,role=distributor (0.99); seed_reach=10; degree=86; turnover=12.4m KZT; betweenness=0.0016
25,100000001857829100,distributor,0.8723145531291839,role=distributor (0.94); seed_reach=7; degree=22; turnover=3.3m KZT; betweenness=0.0013
26,100000008346837100,distributor,0.8720768819956527,role=distributor (0.95); seed_reach=7; degree=34; turnover=1.5m KZT; betweenness=0.0054
27,100000003635170100,consolidator,0.8682168737252782,role=consolidator (0.89); seed_reach=8; degree=7; turnover=522k KZT; betweenness=0.0001
28,100000004400305100,distributor,0.8668501124947627,role=distributor (0.99); seed_reach=7; degree=89; turnover=6.1m KZT; betweenness=0.0017
29,100000008512827100,distributor,0.8634438332982116,role=distributor (0.89); seed_reach=9; degree=13; turnover=2.1m KZT; betweenness=0.0001
30,100000003390036100,consolidator,0.8565306413477259,role=consolidator (0.90); seed_reach=11; degree=4; turnover=293k KZT; betweenness=0.0001
31,100000005910114100,distributor,0.8549122023549761,role=distributor (0.96); seed_reach=7; degree=22; turnover=1.8m KZT; betweenness=0.0045
32,100000008710843100,distributor,0.8538368096601898,role=distributor (0.93); seed_reach=8; degree=15; turnover=2.0m KZT; betweenness=0.0007
33,100000001937767100,coordinator,0.8531472139541872,role=coordinator (0.85); seed_reach=11; degree=5; turnover=2.0m KZT; betweenness=0.0000
34,100000005704413100,distributor,0.8529833955128957,role=distributor (0.95); seed_reach=7; degree=35; turnover=1.5m KZT; betweenness=0.0004
35,100000006424479100,coordinator,0.8464846379307711,role=coordinator (0.85); seed_reach=10; degree=3; turnover=720k KZT; betweenness=0.0001
36,100000001899164100,consolidator,0.8464679258120562,role=consolidator (0.90); seed_reach=8; degree=7; turnover=368k KZT; betweenness=0.0001
37,100000003796063100,distributor,0.845474936006055,role=distributor (0.92); seed_reach=7; degree=16; turnover=994k KZT; betweenness=0.0004
38,100000000661912100,coordinator,0.8454070327532363,role=coordinator (0.87); seed_reach=7; degree=7; turnover=824k KZT; betweenness=0.0008
39,100000003854444100,distributor,0.8451010838442967,role=distributor (0.93); seed_reach=7; degree=15; turnover=2.5m KZT; betweenness=0.0006
40,100000003242289100,distributor,0.843127065268391,role=distributor (0.95); seed_reach=7; degree=26; turnover=2.9m KZT; betweenness=0.0004
41,100000008545727100,distributor,0.8428297320610061,role=distributor (0.85); seed_reach=9; degree=7; turnover=1.9m KZT; betweenness=0.0001
42,100000005382566100,consolidator,0.841778535175341,role=consolidator (0.97); seed_reach=15; degree=8; turnover=443k KZT; betweenness=0.0000
43,100000005527892100,distributor,0.8408789890612319,role=distributor (0.85); seed_reach=8; degree=11; turnover=772k KZT; betweenness=0.0004
44,100000008517538100,distributor,0.8404421774962126,role=distributor (0.91); seed_reach=8; degree=20; turnover=1.6m KZT; betweenness=0.0001
45,100000008686313100,distributor,0.8395223186141821,role=distributor (0.85); seed_reach=7; degree=13; turnover=2.2m KZT; betweenness=0.0039
46,100000008465789100,distributor,0.8394909067297471,role=distributor (0.93); seed_reach=8; degree=17; turnover=1.9m KZT; betweenness=0.0004
47,100000004159526100,consolidator,0.8388882422023922,role=consolidator (0.90); seed_reach=8; degree=8; turnover=343k KZT; betweenness=0.0001
48,100000008730846100,consolidator,0.837957451972562,role=consolidator (0.87); seed_reach=8; degree=10; turnover=518k KZT; betweenness=0.0001
49,100000008304139100,distributor,0.8377020278510711,role=distributor (0.96); seed_reach=7; degree=28; turnover=1.9m KZT; betweenness=0.0019
50,100000007442518100,distributor,0.8369382986437376,role=distributor (0.91); seed_reach=7; degree=14; turnover=4.9m KZT; betweenness=0.0002
