cluster_id,n_nodes,n_seed,sum_kzt_internal,max_priority,avg_priority,top_role,top_gids,hypothesis
31,13,0,6748650.0,0.8369382986437376,0.457770516168004,terminal,100000007442518100;100000008258083100;100000000673868100;100000002911170100;100000000821507100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
32,11,0,3784703.0,0.8144080617084556,0.48581809146015975,peripheral,100000002175422100;100000003004487100;100000001317336100;100000003557488100;100000002710570100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
33,10,0,1929434.85,0.8005371087378255,0.4394875543171084,peripheral,100000007639767100;100000002741024100;100000007629096100;100000001439416100;100000008701256100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
34,10,0,322010.0,0.8112954147655715,0.46898320330675236,peripheral,100000008172352100;100000007322059100;100000004552204100;100000000993112100;100000002691858100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
35,9,0,1406982.0,0.8131617568348352,0.380268156546973,peripheral,100000002217161100;100000001445848100;100000007647294100;100000008254576100;100000000954884100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
36,8,0,2473417.91,0.73897511574324,0.2934154520424441,peripheral,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
37,8,0,389000.0,0.40680000756448875,0.2718935480072643,peripheral,100000005507142100;100000002612809100;100000001825934100;100000005264874100;100000002214207100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
38,7,0,143000.0,0.6580230318160262,0.41068835935475445,peripheral,100000005911352100;100000004508696100;100000000507799100;100000003962994100;100000005127767100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
39,7,0,3077000.0,0.7386124539830186,0.29120032109889665,peripheral,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
40,7,0,1765600.0,0.7046816234267501,0.3429209691291964,peripheral,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
41,7,0,1268308.0,0.7511678356672877,0.4264162918525872,peripheral,100000008011159100;100000006169033100;100000005754335100;100000003888527100;100000006232642100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
42,6,1,1615030.0,0.4906308102401574,0.41830409643138816,consolidator,100000008659445100;100000008193577100;100000008736940100;100000008751429100;100000005456919100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
43,6,1,1527967.0,0.5020275901056965,0.31930475567008515,peripheral,100000000580561100;100000005183943100;100000007939160100;100000003888271100;100000007930878100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
44,6,0,2540000.0,0.7756705836893181,0.4412360526823756,peripheral,100000004717647100;100000004479404100;100000002922000100;100000002659103100;100000001533161100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
45,6,1,275885.0,0.35352581259502863,0.2563947110517756,peripheral,100000005485830100;100000005895525100;100000002462183100;100000007175718100;100000005056870100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
46,6,0,2534500.0,0.7367595122283135,0.41208489253894753,peripheral,100000004722765100;100000003747133100;100000005075949100;100000002578653100;100000006527156100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
47,6,0,1563065.0,0.7206527491271872,0.5038592074816415,consolidator,100000004017410100;100000005519998100;100000004336312100;100000003934614100;100000005767403100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
48,6,1,383300.0,0.44948770196122195,0.36366651615204665,transit,100000004331458100;100000005546031100;100000004094958100;100000005363908100;100000005547096100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
49,5,0,1189154.0,0.7532696922285349,0.48546856699958757,peripheral,100000000291906100;100000004670388100;100000000291908100;100000004722630100;100000004691350100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
50,5,0,172000.0,0.7931208689969071,0.5171019434993973,peripheral,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
51,5,0,338950.0,0.6598982856943275,0.32291784415600777,peripheral,100000004715209100;100000008190411100;100000003133045100;100000004747154100;100000001498732100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
52,5,1,2809200.0,0.4941833760571054,0.4272649488268387,transit,100000004135268100;100000008571433100;100000002738256100;100000007507343100;100000004979498100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
53,5,2,108007.0,0.43041189951366,0.2320080234976034,peripheral,100000006562026100;100000006249740100;100000007347733100;100000008129393100;100000006831291100,Группа с 2 стартовыми клиентами; назначение по одной структуре переводов не установлено.
54,4,0,518000.0,0.8083916468701813,0.5466343770614949,consolidator,100000002205022100;100000003163886100;100000000629812100;100000001380107100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
55,4,1,1404980.0,0.47696131215036414,0.37979818321614456,consolidator,100000008601794100;100000001872484100;100000000785800100;100000002459163100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
56,4,0,1595700.0,0.6808002806855487,0.33197963016908816,peripheral,100000001052945100;100000001131403100;100000004616845100;100000005146665100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
57,4,0,832800.0,0.6850629785249122,0.4927111362311767,peripheral,100000008625905100;100000003159641100;100000001065234100;100000002194320100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
58,4,1,79050.0,0.3519724975292807,0.2747337553056882,peripheral,100000006888238100;100000003148220100;100000001852140100;100000004971871100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
59,4,0,332709.0,0.6583220900905151,0.34815512510042484,peripheral,100000002513028100;100000004610802100;100000002516862100;100000004780083100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
60,4,2,1499679.0,0.4776701431894529,0.3330192914081255,peripheral,100000008418835100;100000008730021100;100000008701944100;100000004269433100,Группа с 2 стартовыми клиентами; назначение по одной структуре переводов не установлено.
61,3,1,450000.0,0.3939875236489775,0.30492557048260316,peripheral,100000002371751100;100000000769919100;100000007018630100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
62,3,0,120000.0,0.43565995244494327,0.32223984448177073,peripheral,100000003221510100;100000002505277100;100000001733216100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
63,3,0,553830.0,0.6148943751437546,0.39115180566367713,peripheral,100000003321895100;100000003692843100;100000002371892100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
64,3,1,390167.62,0.48466138914970514,0.31776770961818546,peripheral,100000002781227100;100000002796853100;100000008522127100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
65,3,0,1557988.0,0.4874275451745434,0.3798759520078689,peripheral,100000008258458100;100000004035925100;100000008619159100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
66,3,1,450816.0,0.38554417997548573,0.31383708857471115,terminal,100000005034574100;100000007283257100;100000004388983100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
67,3,0,627870.0,0.7112661171420337,0.6141738315044344,terminal,100000008628231100;100000004666651100;100000005664632100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
68,2,0,761255.0,0.39537172745713883,0.3687253520968753,peripheral,100000000583220100;100000004586598100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
69,2,1,30000.0,0.25084263905611154,0.16993483655290934,peripheral,100000003980083100;100000003200071100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
70,2,1,81465.0,0.3043537259120983,0.21309347553944913,peripheral,100000003865939100;100000005392290100,Группа с одним стартовым клиентом; наблюдаемые связи требуют проверки.
71,2,0,584900.0,0.4301058230767127,0.38428798455675345,peripheral,100000008430691100;100000007330432100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
72,2,0,300000.0,0.692815411537937,0.6295468661025168,coordinator,100000007898453100;100000008427027100,Группа без стартовых клиентов; назначение по одной структуре переводов не установлено.
73,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000000456947100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
74,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000003265658100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
75,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000003349739100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
76,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000003770083100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
77,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000004021459100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
78,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000004174835100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
79,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005017150100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
80,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005087431100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
81,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005235389100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
82,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005480435100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
83,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005495722100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
84,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005550592100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
85,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005560900100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
86,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000005568407100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
87,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000008117324100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
88,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000008205000100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
89,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000008513251100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
90,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000008669037100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
91,1,1,0.0,0.028091637010676157,0.028091637010676157,peripheral,100000008701222100,Ранее выявленный стартовый клиент без наблюдаемых связей; данных для гипотезы о группе недостаточно.
